X,Y,id,type,name,floor
243.095515648257,427.528788759117,1,room,"1",1
243.375038438483,415.50930877939,2,room,"2",1
226.463909629798,430.324016661379,3,room,"3",1
226.463909629798,421.37928737414,4,room,"4",1
212.767292908714,427.528788759117,5,room,"5",1
200.8875743241,421.099764583914,6,room,"6",1
200.8875743241,427.528788759117,7,room,"7",1
190.96451527107,417.465968310973,8,room,"8",1
206.617791523737,405.726011121473,9,room,"9",1
223.808443122649,405.726011121473,10,room,"10",1
199.210437582743,432.979483168528,11,room,"11",1
202.424949670344,431.581869217397,12,room,"12",1
